ID,TransportID,TimeIndex,Pos[0],Pos[1],Pos[2],SequenceID
86,2074,0,0,0,0,0
87,2074,1033,0,10.087038,-1.1E-05,0
88,2074,1767,0,16.749023,0.528741,0
89,2074,2500,0,24.745222,1.56538,0
90,2074,3333,0,0,0,0
135,2093,0,0,0,0,0
136,2093,4400,0,0,66.73496,0
137,2093,6167,0,0,66.73496,0
138,2093,9967,0,0,0,0
139,2093,11933,0,0,0,0
165,2565,0,0,0,0,0
166,2565,1333,-10.087038,0,-1.1E-05,0
167,2565,2800,-16.749023,0,0.528741,0
168,2565,4233,-24.745222,0,1.56538,0
169,2565,6633,0,0,0,0
42758,4170,0,0,0,0,164
42759,4170,5000,0,0,0,162
42760,4170,6100,2E-06,-2E-06,-1.754786,162
42761,4170,6933,5E-06,-5E-06,-5.176656,162
42762,4170,12867,2E-06,-2E-06,-56.811295,162
42763,4170,13833,2E-06,-2E-06,-59.846,162
42764,4170,15000,2E-06,-2E-06,-61.244316,164
42765,4170,20000,2E-06,-2E-06,-61.244316,162
42766,4170,21333,0,0,-59.833206,162
42767,4170,22233,0,0,-56.73523,162
42768,4170,28133,0,0,-5.24749,162
42769,4170,28800,0,0,-1.585038,162
42770,4170,30033,0,0,0,162
42771,4171,0,0,0,0,164
42772,4171,5000,0,0,0,162
42773,4171,5900,0,0,1.201138,162
42774,4171,6667,0,0,4.690253,162
42775,4171,10567,0,3E-06,32.550922,162
42776,4171,13100,0,3E-06,53.467518,162
42777,4171,14067,0,3E-06,59.584812,162
42778,4171,15000,0,3E-06,61.498127,164
42779,4171,20000,0,3E-06,61.498127,162
42780,4171,21000,0,3E-06,59.549297,162
42781,4171,21800,0,3E-06,54.27323,162
42782,4171,25267,0,3E-06,29.10911,162
42783,4171,27933,0,0,8.591193,162
42784,4171,28967,0,0,1.968553,162
42785,4171,30000,0,0,0,162
227,4172,0,0,0,0,0
228,4172,5000,0,0,0,0
229,4172,6100,2E-06,-2E-06,-1.754786,0
230,4172,6933,5E-06,-5E-06,-5.176656,0
231,4172,12867,2E-06,-2E-06,-56.811295,0
232,4172,13833,2E-06,-2E-06,-59.846,0
233,4172,15000,2E-06,-2E-06,-61.244316,0
234,4172,20000,2E-06,-2E-06,-61.244316,0
235,4172,21333,0,0,-59.833206,0
236,4172,22233,0,0,-56.73523,0
237,4172,28133,0,0,-5.24749,0
238,4172,28800,0,0,-1.585038,0
239,4172,30033,0,0,0,0
240,4173,0,0,0,0,0
241,4173,5000,0,0,0,0
242,4173,5900,0,0,1.201138,0
243,4173,6667,0,0,4.690253,0
244,4173,10567,-3E-06,2E-06,32.550922,0
245,4173,13100,-3E-06,2E-06,53.467518,0
246,4173,14067,-3E-06,2E-06,59.584812,0
247,4173,15000,-3E-06,2E-06,61.498127,0
248,4173,20000,-3E-06,2E-06,61.498127,0
249,4173,21000,-3E-06,2E-06,59.549297,0
250,4173,21800,-3E-06,2E-06,54.27323,0
251,4173,25267,-3E-06,2E-06,29.10911,0
252,4173,27933,0,0,8.591193,0
253,4173,28967,0,0,1.968553,0
254,4173,30000,0,0,0,0
43219,11898,0,0,0,0,164
43220,11898,5000,0,0,0,162
43221,11898,6100,3E-06,-1E-06,-1.754788,162
43222,11898,6867,6E-06,-2E-06,-5.176656,162
43223,11898,12867,7E-06,-1E-06,-124.86685,162
43224,11898,13833,7E-06,-1E-06,-127.90156,162
